id,contest_id,author,creation_time_seconds,relative_time_seconds,problem_name,problem_type,programming_language,verdict,test_set,passed_test_count,time_consumed_millis,memory_consumed_bytes
253366293,1928,Aryan_Goel7,1711464990,2147483647,Equalize,PROGRAMMING,C++14 (GCC 6-32),OK,TESTS,10,156,7372800
253364718,1928,Aryan_Goel7,1711464438,2147483647,Equalize,PROGRAMMING,C++14 (GCC 6-32),TIME_LIMIT_EXCEEDED,TESTS,2,1000,7372800
253362072,1928,Aryan_Goel7,1711463514,2147483647,Equalize,PROGRAMMING,C++14 (GCC 6-32),TIME_LIMIT_EXCEEDED,TESTS,2,1000,7372800
253340517,1928,huahuadan123,1711454048,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,1,1000,3174400
253340185,1928,huahuadan123,1711453891,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,1,1000,3174400
253338677,1928,huahuadan123,1711453225,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,1,1000,1638400
253302437,1928,A_R_K1,1711435146,2147483647,Equalize,PROGRAMMING,GNU C11,OK,TESTS,10,140,1843200
253301319,1928,Likhit_Bhogadi,1711434541,2147483647,Equalize,PROGRAMMING,GNU C11,OK,TESTS,10,124,1638400
253300972,1928,Likhit_Bhogadi,1711434354,2147483647,Equalize,PROGRAMMING,GNU C11,TIME_LIMIT_EXCEEDED,TESTS,9,1000,1843200
253261226,1928,KRISTY2006,1711394208,2147483647,Equalize,PROGRAMMING,C++20 (GCC 13-64),TIME_LIMIT_EXCEEDED,TESTS,1,1000,125747200
253228787,1928,Rahil_gupta,1711377791,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,217,8192000
253227477,1928,Rahil_gupta,1711377221,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,2,1000,8192000
253224124,1928,myWar_8707,1711375817,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,452,5324800
253223003,1928,myWar_8707,1711375355,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,483,5324800
253222689,1928,luogu_bot5,1711375230,2147483647,Equalize,PROGRAMMING,C++14 (GCC 6-32),OK,TESTS,10,468,16281600
253222544,1928,realinbing,1711375164,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,467,16281600
253222480,1928,realinbing,1711375139,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,467,16281600
253192490,1928,snehagupta2505,1711362723,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,62,819200
253187878,1928,Kr.vishal,1711360332,2147483647,Equalize,PROGRAMMING,C++20 (GCC 13-64),TIME_LIMIT_EXCEEDED,TESTS,2,1000,3174400
253186433,1928,Kr.vishal,1711359618,2147483647,Equalize,PROGRAMMING,C++20 (GCC 13-64),TIME_LIMIT_EXCEEDED,TESTS,2,1000,3174400
253181921,1928,xiguangshuai,1711357266,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,2,1000,1638400
253181419,1928,Kr.vishal,1711357008,2147483647,Equalize,PROGRAMMING,C++20 (GCC 13-64),TIME_LIMIT_EXCEEDED,TESTS,2,1000,10444800
253178733,1928,xiguangshuai,1711355609,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,2,1000,1638400
253171905,1928,sky_raki,1711351268,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,140,1638400
253171467,1928,sky_raki,1711350975,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,2,1000,1638400
253157247,1928,utshab1618,1711339840,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,124,819200
253157181,1928,utshab1618,1711339758,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,124,8704000
253150633,1928,utshab1618,1711331193,1353,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,140,8704000
253123013,1928,sharingan1007,1711304284,2147483647,Equalize,PROGRAMMING,C++20 (GCC 13-64),OK,TESTS,10,109,21606400
253121058,1928,sharingan1007,1711303079,2147483647,Equalize,PROGRAMMING,C++20 (GCC 13-64),TIME_LIMIT_EXCEEDED,TESTS,2,1000,9728000
253117507,1928,snehagupta2505,1711300962,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,2,1000,9318400
253088159,1928,_XEROX_,1711286152,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,451,15155200
253087257,1928,_XEROX_,1711285750,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,2,1000,15155200
253040823,1928,sumitchadgalofficial,1711264932,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,452,2457600
252984824,1928,Anastasiiia,1711225127,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,77,819200
252984750,1928,._.CaPyBaRa._.,1711225100,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,77,819200
252984661,1928,._.CaPyBaRa._.,1711225059,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,2,1000,819200
252984627,1928,Anastasiiia,1711225044,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,2,1000,819200
252983536,1928,rahul_raj83,1711224561,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,124,9728000
252979331,1928,rahul_raj83,1711222802,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,2,1000,9728000
252966279,1928,push_back-Avishek,1711215501,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,155,11878400
252966167,1928,push_back-Avishek,1711215443,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,171,11878400
252966112,1928,push_back-Avishek,1711215418,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,124,11878400
252965997,1928,push_back-Avishek,1711215359,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,451,11878400
252960138,1928,ahsanhabibsadik123,1711212407,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,187,10342400
252945143,1928,ahsanhabibsadik123,1711205361,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,2,1000,8704000
252935038,1928,luogu_bot3,1711200988,2147483647,Equalize,PROGRAMMING,C++14 (GCC 6-32),OK,TESTS,10,93,1638400
252920237,1928,ABBAS_04.,1711194005,2147483647,Equalize,PROGRAMMING,C++20 (GCC 13-64),OK,TESTS,10,405,10752000
252910122,1928,vjudge.10,1711189100,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,467,2457600
252906795,1928,vjudge.4,1711187615,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,436,819200
252904584,1928,bkifhr7,1711186646,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,139,819200
252904390,1928,mfadhilp09,1711186559,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,124,819200
252904078,1928,mfadhilp09,1711186430,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,2,1000,819200
252903635,1928,mfadhilp09,1711186218,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,2,1000,2457600
252895372,1928,Passerby.,1711183015,2147483647,Equalize,PROGRAMMING,C++14 (GCC 6-32),OK,TESTS,10,124,1638400
252893339,1928,Passerby.,1711182214,2147483647,Equalize,PROGRAMMING,C++14 (GCC 6-32),OK,TESTS,10,108,1638400
252890178,1928,Passerby.,1711181049,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,2,1000,1638400
252864987,1928,sanketag23,1711170787,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,436,9830400
252849550,1928,PTGP_Atlas,1711157683,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,139,819200
252849422,1928,PTGP_Atlas,1711157547,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,2,1000,819200
252790243,1928,vjudge3,1711122688,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,2,1000,13824000
252739907,1928,prolite,1711116270,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,139,8704000
252739726,1928,prolite,1711116181,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,124,8704000
252731116,1928,luogu_bot5,1711112022,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,78,1638400
252731081,1928,SDLY,1711112006,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,93,1638400
252720266,1928,SDLY,1711106869,2147483647,Equalize,PROGRAMMING,C++14 (GCC 6-32),TIME_LIMIT_EXCEEDED,TESTS,1,1000,921600
252720155,1928,lmx111,1711106804,2204,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,483,8704000
252720041,1928,vjudge3,1711106743,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,62,1638400
252720007,1928,luogu_bot3,1711106721,2147483647,Equalize,PROGRAMMING,C++14 (GCC 6-32),OK,TESTS,10,62,1638400
252719889,1928,luogu_bot4,1711106667,2147483647,Equalize,PROGRAMMING,C++14 (GCC 6-32),OK,TESTS,10,62,1638400
252719800,1928,luogu_bot1,1711106628,2147483647,Equalize,PROGRAMMING,C++14 (GCC 6-32),OK,TESTS,10,78,1638400
252718338,1928,lmx111,1711105882,1282,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,2,1000,819200
252713050,1928,prob_solver2495,1711103022,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,2,1000,6553600
252712134,1928,prob_solver2495,1711102489,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,2,1000,6553600
252695017,1928,xuki,1711094061,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,108,3174400
252694270,1928,xuki,1711093613,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,140,10342400
252682943,1928,vjudge.5,1711087094,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,140,9523200
252650885,1928,__lithium03__,1711055302,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,78,1638400
252649307,1928,__lithium03__,1711054405,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,109,1638400
252629712,1928,vjudge2,1711043333,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,171,7372800
252610678,1928,xuki,1711034218,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,2,1000,8192000
